UNIQUE_ID,avg_summer_temp,avg_summer_do,critical_events,sample_count,cluster,risk_category
W1588,19.233333333333334,8.333333333333334,0,6,1,Low Risk
W1589,17.1,4.82,4,5,0,High Risk
W1590,18.228571428571428,9.085714285714285,0,7,1,Low Risk
W1595,20.02,7.7,0,5,1,Low Risk
W1596,21.12857142857143,6.771428571428571,1,7,2,Medium Risk
W1598,21.380000000000003,9.7,0,5,1,Low Risk
W1749,23.6,5.66,3,5,2,Medium Risk
W1750,23.75,5.7749999999999995,2,8,2,Medium Risk
W1751,23.349999999999998,7.3,5,24,2,Medium Risk
W1752,21.225,3.3625,5,8,0,High Risk
W1753,17.616666666666667,8.783333333333333,0,6,1,Low Risk
W1755,19.816666666666666,8.35,0,6,1,Low Risk
W1756,17.516666666666666,8.15,0,6,1,Low Risk
W1758,22.0,7.133333333333333,0,6,2,Medium Risk
W1760,16.55,7.8500000000000005,0,6,1,Low Risk
W1761,17.583333333333332,8.65,0,6,1,Low Risk
W1762,18.849999999999998,8.4,0,6,1,Low Risk
W1763,21.0,7.133333333333333,0,6,2,Medium Risk
W1764,21.900000000000002,7.242857142857143,0,7,2,Medium Risk
W1766,22.116666666666664,7.6000000000000005,0,6,2,Medium Risk
W1767,21.166666666666668,7.833333333333333,0,6,2,Medium Risk
W1768,16.933333333333334,3.1166666666666667,6,6,0,High Risk
W1769,17.666666666666668,7.6499999999999995,0,6,1,Low Risk
W1770,24.116666666666664,7.866666666666666,0,6,2,Medium Risk
W1771,23.099999999999998,7.966666666666666,0,6,2,Medium Risk
W1772,18.66,5.4399999999999995,0,5,1,Low Risk
W1782,16.2,9.983333333333333,0,6,1,Low Risk
W1784,21.259999999999998,8.540000000000001,0,5,2,Medium Risk
W1786,23.525,7.25,0,8,2,Medium Risk
W1791,18.18,7.0200000000000005,0,5,1,Low Risk
W1792,21.925,8.4375,0,8,2,Medium Risk
W1794,21.3125,7.7625,0,8,2,Medium Risk
W1796,19.6125,9.4625,0,8,1,Low Risk
W1799,20.759999999999998,8.68,0,5,1,Low Risk
W1806,21.383333333333336,7.1499999999999995,0,6,2,Medium Risk
W1808,21.333333333333332,7.983333333333333,0,6,2,Medium Risk
W1809,20.21666666666667,8.383333333333333,0,6,1,Low Risk
W1812,21.78333333333333,7.05,0,6,2,Medium Risk
W1813,22.03333333333333,5.966666666666666,1,6,2,Medium Risk
W1816,18.759999999999998,6.44,0,5,1,Low Risk
W1819,14.816666666666668,9.333333333333334,0,6,1,Low Risk
W1821,18.55,9.200000000000001,0,6,1,Low Risk
W1823,17.349999999999998,8.75,0,6,1,Low Risk
W1830,22.599999999999998,4.0,6,6,0,High Risk
W1832,20.44,8.82,0,5,1,Low Risk
W1848,19.822222222222223,8.011111111111111,0,9,1,Low Risk
W1849,19.7,8.233333333333333,0,6,1,Low Risk
W1850,17.883333333333333,8.133333333333333,0,6,1,Low Risk
W1851,21.5,7.983333333333333,0,6,2,Medium Risk
W1853,18.06,9.059999999999999,0,5,1,Low Risk
W1854,18.64,8.76,0,5,1,Low Risk
W1856,18.900000000000002,8.5,0,6,1,Low Risk
W1858,20.22,8.6,0,5,1,Low Risk
W1864,18.744444444444444,9.122222222222222,0,9,1,Low Risk
W1866,20.966666666666665,8.4,0,6,2,Medium Risk
W1873,20.9,2.2399999999999998,5,5,0,High Risk
W1874,17.883333333333333,8.9,0,6,1,Low Risk
W1877,19.883333333333333,7.716666666666666,0,6,1,Low Risk
W1884,23.064285714285713,8.792857142857143,1,14,2,Medium Risk
W1898,21.655555555555555,7.566666666666666,0,9,2,Medium Risk
W1905,17.52,7.74,0,5,1,Low Risk
W1906,19.36,8.92,0,5,1,Low Risk
W1910,18.3,8.18,0,5,1,Low Risk
W1911,16.72,8.34,0,5,1,Low Risk
W1912,17.96,7.56,0,5,1,Low Risk
W1915,18.259999999999998,7.26,1,5,1,Low Risk
W1916,16.36,5.64,2,5,1,Low Risk
W1920,20.22,8.18,0,5,1,Low Risk
W1922,21.2,6.82,0,5,2,Medium Risk
W1955,19.05,6.483333333333333,1,6,1,Low Risk
W1956,17.933333333333334,6.3500000000000005,0,6,1,Low Risk
W1958,19.7,7.550000000000001,0,6,1,Low Risk
W1959,19.633333333333336,7.0,0,6,1,Low Risk
W1960,19.849999999999998,7.116666666666667,0,6,1,Low Risk
W1961,18.883333333333333,7.6000000000000005,0,6,1,Low Risk
W1990,17.759999999999998,8.34,0,5,1,Low Risk
W2005,22.28333333333333,7.916666666666667,0,6,2,Medium Risk
W2011,22.5,7.533333333333334,0,6,2,Medium Risk
W2012,20.33125,5.675,4,16,0,High Risk
W2013,23.8,7.6,0,8,2,Medium Risk
W2014,14.811111111111112,8.822222222222223,2,18,1,Low Risk
W2026,17.166666666666668,8.583333333333334,0,6,1,Low Risk
W2027,15.35,9.183333333333332,0,6,1,Low Risk
W2030,19.616666666666667,8.85,0,6,1,Low Risk
W2031,19.816666666666666,7.1499999999999995,0,6,1,Low Risk
W2032,20.577777777777776,7.800000000000001,1,9,2,Medium Risk
W2033,18.55,7.316666666666666,0,6,1,Low Risk
W2034,18.883333333333333,6.883333333333333,0,6,1,Low Risk
W2037,18.74285714285714,2.157142857142857,7,7,0,High Risk
W2043,16.133333333333333,5.766666666666667,1,6,1,Low Risk
W2045,17.266666666666666,7.883333333333333,0,6,1,Low Risk
W2049,19.849999999999998,8.483333333333334,0,6,1,Low Risk
W2050,16.75,8.183333333333334,0,6,1,Low Risk
W2051,20.3,5.983333333333333,2,6,2,Medium Risk
W2062,20.566666666666666,7.133333333333333,0,6,2,Medium Risk
W2097,23.626666666666665,8.353333333333333,1,15,2,Medium Risk
W2129,19.333333333333332,8.549999999999999,0,6,1,Low Risk
W2130,22.5,7.966666666666666,0,6,2,Medium Risk
W2133,22.78333333333333,6.183333333333334,2,6,2,Medium Risk
W2134,22.71666666666667,7.283333333333334,0,6,2,Medium Risk
W2135,24.0,7.566666666666666,0,6,2,Medium Risk
W2136,23.916666666666668,7.683333333333334,0,6,2,Medium Risk
W2137,18.433333333333334,7.366666666666666,0,6,1,Low Risk
W2138,20.2,6.1000000000000005,0,6,2,Medium Risk
W2139,18.916666666666668,8.366666666666667,0,6,1,Low Risk
W2140,20.333333333333332,8.933333333333334,0,6,1,Low Risk
W2141,20.34,2.8,5,5,0,High Risk
W2144,22.383333333333336,7.3999999999999995,0,6,2,Medium Risk
