UNIQUE_ID,DO_critical_count,stress_combo_count,flow_flag_count,avg_risk_score,avg_temp,avg_DO,latitude,longitude,total_samples,watershed,DO_critical_rate,stress_combo_rate,risk_rank
W2900,0,0,3,1.6666666666666667,19.2,8.4,42.43953233,-72.04115765,3,Chicopee,0.0,0.0,614
W2165,0,0,3,1.6666666666666667,21.7,7.366666666666667,42.22337829,-72.17965076,3,Chicopee,0.0,0.0,615
W2374,0,0,3,1.6666666666666667,21.900000000000002,6.3,41.72789933,-70.79814166,3,Buzzards Bay,0.0,0.0,616
W2905,0,0,3,1.6666666666666667,20.866666666666664,8.233333333333334,42.04529263,-71.65201157,3,Blackstone,0.0,0.0,617
W2899,0,0,3,1.6666666666666667,19.666666666666668,8.566666666666668,42.46777728,-72.15673762,3,Chicopee,0.0,0.0,618
W1978,0,0,6,1.6666666666666667,20.883333333333333,8.25,42.4382644,-71.06956013,6,Mystic,0.0,0.0,619
W2902,0,0,3,1.6666666666666667,17.533333333333335,8.833333333333334,42.05048837,-72.09627321,3,Quinebaug,0.0,0.0,620
W2903,0,0,3,1.6666666666666667,18.833333333333332,8.4,42.01542185,-71.79841192,3,Quinebaug,0.0,0.0,621
W0557,1,0,6,1.6666666666666667,16.400000000000002,6.283333333333334,42.12604018,-71.18526016,6,Neponset,16.666666666666664,0.0,622
W2050,0,0,9,1.6666666666666667,15.933333333333334,8.433333333333334,42.15128287,-71.04045468,9,Weymouth & Weir,0.0,0.0,623
W2898,0,0,3,1.6666666666666667,15.700000000000001,9.566666666666666,42.45007437,-72.45260735,3,Connecticut,0.0,0.0,624
W2277,0,0,3,1.6666666666666667,21.400000000000002,10.333333333333334,42.63908097,-72.72437309,3,Deerfield,0.0,0.0,625
W2041,0,0,3,1.6666666666666667,21.96666666666667,8.200000000000001,42.27317372,-71.9749944,3,Chicopee,0.0,0.0,626
W0889,0,0,9,1.6666666666666667,16.155555555555555,8.077777777777778,42.58035633,-70.76491831,9,North Coastal,0.0,0.0,627
W2895,0,0,3,1.6666666666666667,15.666666666666666,9.266666666666666,42.62069634,-72.39305406,3,Millers,0.0,0.0,628
W2514,0,0,3,1.6666666666666667,15.733333333333334,8.4,42.3049376,-71.2338344,3,Charles,0.0,0.0,629
