UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W1061,42.36655405,-72.60488814,23.5,5.5,1,2,Summer,2019.0,8.0,1,0,0
W1796,42.31899322,-72.66514075,22.5,10.0,1,2,Summer,2019.0,8.0,1,0,0
W2845,42.37683842,-72.49492563,18.0,8.4,1,2,Summer,2019.0,8.0,1,0,0
W2846,42.41550849,-72.51258326,18.0,9.2,1,2,Summer,2019.0,8.0,1,0,0
W2854,42.41118008,-72.5674643,17.1,7.8,1,2,Summer,2019.0,8.0,1,0,0
W1050,42.38639934,-72.5503928,20.0,8.1,1,2,Summer,2019.0,8.0,1,0,0
W2847,42.38339502,-72.5850062,23.6,7.7,1,2,Summer,2019.0,8.0,1,0,0
W1051,42.33278638,-72.57858317,21.1,8.1,1,2,Summer,2019.0,8.0,1,0,0
W2848,42.28071001,-72.4252915,19.2,8.0,1,2,Summer,2019.0,8.0,1,0,0
W1055,42.28189876,-72.42726497,19.8,8.4,1,2,Summer,2019.0,8.0,1,0,0
W2849,42.27820079,-72.57541581,22.8,8.6,1,2,Summer,2019.0,8.0,1,0,0
W2850,42.28230014,-72.58708557,18.5,8.8,1,2,Summer,2019.0,8.0,1,0,0
W1065,42.28349688,-72.64060074,21.8,6.2,1,2,Summer,2019.0,8.0,1,0,0
W2851,42.27748219,-72.65403879,25.0,7.1,1,2,Summer,2019.0,8.0,1,0,0
W1792,42.24704007,-72.58037808,20.7,8.6,1,2,Summer,2019.0,8.0,1,0,0
W2852,42.21396566,-72.59514866,16.6,9.5,1,2,Summer,2019.0,8.0,1,0,0
W2855,42.19157879,-72.59779736,15.1,9.9,1,2,Summer,2019.0,8.0,1,0,0
W1786,42.0941279,-72.56911519,22.0,6.1,1,2,Summer,2019.0,8.0,1,0,0
W2853,42.07465812,-72.58070026,21.7,8.0,1,2,Summer,2019.0,8.0,1,0,0
W1794,42.03629979,-72.58362237,18.2,8.9,1,2,Summer,2019.0,8.0,1,0,0
W2842,42.70281576,-72.45189591,17.0,8.2,1,1,Fall,2019.0,9.0,0,0,0
W1782,42.62058327,-72.54988746,17.3,9.5,1,1,Fall,2019.0,9.0,0,0,0
W2843,42.5098257,-72.66169041,16.0,8.8,1,1,Fall,2019.0,9.0,0,0,0
W1063,42.47836238,-72.61893594,18.5,4.1,1,2,Fall,2019.0,9.0,0,1,0
W2844,42.48176265,-72.60513286,18.3,2.8,1,2,Fall,2019.0,9.0,0,1,0
