SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical
W0206,42.09474599,-73.08665689,Farmington,2006.0,2006.0,5,16.32,10.040000000000001,1.4,18.32,9.540000000000001,0,0,0,0.0,
W0210,42.15892543,-73.06950719,Farmington,2006.0,2006.0,5,16.7,9.68,1.4,18.7,9.18,0,0,0,0.0,
W0220,42.27084268,-72.86666034,Westfield,2017.0,2017.0,1,16.8,10.0,1.0,18.8,9.5,0,0,0,0.0,
W0221,42.22568842,-72.87073188,Westfield,2006.0,2006.0,5,17.56,10.440000000000001,1.6,19.56,9.940000000000001,0,0,0,0.0,
W0244,42.16599233,-72.83056299,Westfield,2017.0,2017.0,1,8.4,11.8,1.0,10.4,11.3,0,0,0,0.0,
W0257,42.33094293,-73.09171257,Westfield,2006.0,2006.0,5,13.74,10.26,1.6,15.74,9.76,0,0,0,0.0,
W0293,42.58708857,-72.35718789,Millers,2011.0,2017.0,17,16.11176470588235,9.594117647058823,1.7058823529411764,18.11176470588235,9.094117647058823,0,0,0,0.0,
W0311,41.96604487,-71.175902,Taunton,2006.0,2006.0,5,19.240000000000002,8.22,1.4,21.240000000000002,7.720000000000001,0,0,0,0.0,
W0317,41.9074391,-70.91495236,Taunton,2019.0,2019.0,4,21.425,6.3,2.0,23.425,5.8,1,1,0,25.0,0.0
W0318,41.92174924,-70.92351752,Taunton,2019.0,2019.0,4,21.4,4.6,2.25,23.4,4.1,2,2,0,50.0,0.0
W0324,42.45888846,-71.3973783,Concord (SuAsCo),2006.0,2006.0,2,20.0,8.0,1.5,22.0,7.5,0,0,0,0.0,
W0333,41.92602695,-70.61353249,South Coastal,2006.0,2006.0,5,20.44,8.36,1.6,22.44,7.859999999999999,0,0,0,0.0,
W0337,42.08647762,-70.65128516,South Coastal,2006.0,2006.0,2,19.9,7.699999999999999,1.5,21.9,7.199999999999999,0,0,0,0.0,
W0338,41.91104346,-70.64385015,South Coastal,2006.0,2006.0,5,15.16,9.68,1.6,17.160000000000004,9.18,0,0,0,0.0,
W0339,41.91774475,-70.6264616,South Coastal,2006.0,2006.0,5,20.46,9.379999999999999,1.6,22.46,8.879999999999999,0,0,0,0.0,
W0344,41.63266048,-71.06038287,Buzzards Bay,2013.0,2016.0,15,18.493333333333332,8.826666666666666,1.7333333333333334,20.493333333333332,8.326666666666666,0,0,0,0.0,
W0347,42.18359566,-73.04390073,Farmington,2006.0,2016.0,46,21.317391304347826,6.908695652173913,1.8478260869565217,23.317391304347826,6.413043478260869,8,9,1,17.391304347826086,12.5
W0348,42.25214199,-73.12277522,Farmington,2006.0,2006.0,21,19.704761904761906,5.152380952380953,2.0952380952380953,21.704761904761906,4.6761904761904765,7,8,1,33.33333333333333,14.285714285714285
W0351,42.19714978,-73.09707925,Farmington,2006.0,2006.0,5,15.559999999999999,9.78,1.4,17.56,9.28,0,0,0,0.0,
W0357,42.49645261,-71.2242658,Shawsheen,2005.0,2005.0,13,16.484615384615385,2.5153846153846158,1.5384615384615385,18.484615384615385,2.0615384615384618,10,11,1,76.92307692307693,10.0
W0371,42.05490025,-73.33400325,Housatonic,2007.0,2007.0,8,18.225,9.2375,1.75,20.225,8.7375,0,0,0,0.0,
W0375,42.07601465,-73.28282617,Housatonic,2007.0,2007.0,5,16.06,9.92,1.6,18.06,9.42,0,0,0,0.0,
W0377,42.11316821,-73.26853192,Housatonic,2007.0,2007.0,5,16.52,9.64,1.6,18.52,9.14,0,0,0,0.0,
W0384,42.36514506,-71.1903328,Charles,2007.0,2007.0,11,21.09090909090909,5.709090909090909,2.090909090909091,23.09090909090909,5.209090909090909,5,5,0,45.45454545454545,0.0
W0406,42.24980728,-71.22270212,Charles,2007.0,2007.0,10,20.1,8.03,1.6,22.1,7.529999999999999,0,0,0,0.0,
